rendszam	tipus	fajta
MHU833	MB Citaro C2-S1	autóbusz
MHU834	MB Citaro C2-S1	autóbusz
MHU835	MB Citaro C2-S1	autóbusz
MHU836	MB Citaro C2-S1	autóbusz
MHU837	MB Citaro C2-S1	autóbusz
MHU838	MB Citaro C2-S1	autóbusz
MHU839	MB Citaro C2-S1	autóbusz
MHU840	MB Citaro C2-S1	autóbusz
MHU841	MB Citaro C2-S1	autóbusz
MHU842	MB Citaro C2-S1	autóbusz
MHU843	MB Citaro C2-S1	autóbusz
MHU844	MB Citaro C2-S1	autóbusz
MHU845	MB Citaro C2-S1	autóbusz
MHU846	MB Citaro C2-S1	autóbusz
MHU847	MB Citaro C2-S1	autóbusz
MHU848	MB Citaro C2-S1	autóbusz
MHU849	MB Citaro C2-S1	autóbusz
MHU850	MB Citaro C2-S1	autóbusz
MHU851	MB Citaro C2-S1	autóbusz
MHU852	MB Citaro C2-S1	autóbusz
MHU853	MB Citaro C2-S1	autóbusz
MHU854	MB Citaro C2-S1	autóbusz
MHU855	MB Citaro C2-S1	autóbusz
MHU856	MB Citaro C2-S1	autóbusz
MHU857	MB Citaro C2-S1	autóbusz
MHU858	MB Citaro C2-S1	autóbusz
MHU859	MB Citaro C2-S1	autóbusz
MHU860	MB Citaro C2-S1	autóbusz
MHU861	MB Citaro C2-S1	autóbusz
MHU862	MB Citaro C2-S1	autóbusz
MHU863	MB Citaro C2-S1	autóbusz
MHU864	MB Citaro C2-S1	autóbusz
MHU865	MB Citaro C2-S1	autóbusz
MHU866	MB Citaro C2-S1	autóbusz
MHU867	MB Citaro C2-S1	autóbusz
MHU868	MB Citaro C2-S1	autóbusz
MHU869	MB Citaro C2-S1	autóbusz
MHU870	MB Citaro C2-S1	autóbusz
MHU871	MB Citaro C2-S1	autóbusz
MHU872	MB Citaro C2-S1	autóbusz
MHU873	MB Citaro C2-S1	autóbusz
MHU874	MB Citaro C2-S1	autóbusz
MHU875	MB Citaro C2-S1	autóbusz
MHU876	MB Citaro C2-S1	autóbusz
MHU877	MB Citaro C2-S1	autóbusz
MHU878	MB Citaro C2-S1	autóbusz
MHU879	MB Citaro C2-S1	autóbusz
MKL981	VanHool NewA330	autóbusz
MMM132	MERCEDES Citaro O 530	autóbusz
MMM133	MERCEDES Citaro O 530	autóbusz
MMM134	MERCEDES Citaro O 530	autóbusz
MMM135	MERCEDES Citaro O 530	autóbusz
MMM136	MERCEDES Citaro O 530	autóbusz
MMM137	MERCEDES Citaro O 530	autóbusz
MMM138	MERCEDES Citaro O 530	autóbusz
MMM139	MERCEDES Citaro O 530	autóbusz
MMM140	MERCEDES Citaro O 530	autóbusz
MOS239	Volvo 7900	autóbusz
MOS240	Volvo 7900	autóbusz
MOS241	Volvo 7900	autóbusz
MOS242	Volvo 7900	autóbusz
MOS243	Volvo 7900	autóbusz
MOS244	Volvo 7900	autóbusz
MOS245	Volvo 7900	autóbusz
MOS246	Volvo 7900	autóbusz
MOS247	Volvo 7900	autóbusz
MOS248	Volvo 7900	autóbusz
MOS249	Volvo 7900	autóbusz
MOS250	Volvo 7900	autóbusz
MOS256	Volvo 7900	autóbusz
MOS257	Volvo 7900	autóbusz
MOS258	Volvo 7900	autóbusz
MOS259	Volvo 7900	autóbusz
MOS260	Volvo 7900	autóbusz
MOS261	Volvo 7900	autóbusz
MOS262	Volvo 7900	autóbusz
MOS263	Volvo 7900	autóbusz
MOS264	Volvo 7900	autóbusz
MOS265	Volvo 7900	autóbusz
MOS266	Volvo 7900	autóbusz
MOS267	Volvo 7900	autóbusz
MOS268	Volvo 7900	autóbusz
MOS269	Volvo 7900	autóbusz
MOS270	Volvo 7900	autóbusz
MOS271	Volvo 7900	autóbusz
MOS272	Volvo 7900	autóbusz
MOS273	Volvo 7900	autóbusz
MOS274	Volvo 7900	autóbusz
MOS275	Volvo 7900	autóbusz
MPH199	Ikarus 260	autóbusz
MPV997	Solaris Urbino 10	autóbusz
MPV998	Solaris Urbino 10	autóbusz
MPV999	Solaris Urbino 10	autóbusz
MPW601	VanHool A330 CNG	autóbusz
MPW602	VanHool A330 CNG	autóbusz
MPW603	VanHool A330 CNG	autóbusz
MPW604	VanHool A330 CNG	autóbusz
MPW605	VanHool A330 CNG	autóbusz
MPW606	VanHool A330 CNG	autóbusz
MPW607	VanHool A330 CNG	autóbusz
MPW608	VanHool A330 CNG	autóbusz
MPW609	VanHool A330 CNG	autóbusz
MPW610	VanHool A330 CNG	autóbusz
MPW611	VanHool A330 CNG	autóbusz
MPW612	VanHool A330 CNG	autóbusz
MPW613	VanHool A330 CNG	autóbusz
MPW614	VanHool A330 CNG	autóbusz
MPW616	VanHool A330 CNG	autóbusz
MPW617	VanHool A330 CNG	autóbusz
MPW618	VanHool A330 CNG	autóbusz
MPW619	VanHool A330 CNG	autóbusz
MPW620	VanHool A330 CNG	autóbusz
MPW621	VanHool A330 CNG	autóbusz
MPW622	VanHool A330 CNG	autóbusz
MPW623	VanHool A330 CNG	autóbusz
MPW624	VanHool A330 CNG	autóbusz
MPW625	VanHool A330 CNG	autóbusz
MPW626	VanHool A330 CNG	autóbusz
MPW628	VanHool A330 CNG	autóbusz
MPW629	VanHool A330 CNG	autóbusz
MPW630	VanHool A330 CNG	autóbusz
MPW631	VanHool A330 CNG	autóbusz
MPW633	VanHool A330 CNG	autóbusz
MPW634	VanHool A330 CNG	autóbusz
MPW635	VanHool A330 CNG	autóbusz
MPW636	VanHool A330 CNG	autóbusz
MPW637	VanHool A330 CNG	autóbusz
MRP051	MAN A21	autóbusz
MRP052	MAN A21	autóbusz
MRP053	MAN A21	autóbusz
MRP054	MAN A21	autóbusz
MRP055	MAN A21	autóbusz
MRP056	MAN A21	autóbusz
MRP057	MAN A21	autóbusz
MRP058	MAN A21	autóbusz
MRP059	MAN A21	autóbusz
MRP060	MAN A21	autóbusz
MRP061	MAN A21	autóbusz
MRP062	MAN A21	autóbusz
MRP063	MAN A21	autóbusz
MRP064	MAN A21	autóbusz
MRP065	MAN A21	autóbusz
MRP066	MAN A21	autóbusz
MRP067	MAN A21	autóbusz
MRP068	MAN A21	autóbusz
MRP069	MAN A21	autóbusz
MRP070	MAN A21	autóbusz
MRP071	MAN A21	autóbusz
MRP072	MAN A21	autóbusz
MRP073	MAN A21	autóbusz
MRP074	MAN A21	autóbusz
MRP075	MAN A21	autóbusz
MRP076	MAN A21	autóbusz
MRP077	MAN A21	autóbusz
MRP078	MAN A21	autóbusz
MRP079	MAN A21	autóbusz
MRP080	MAN A21	autóbusz
MRP081	MAN A21	autóbusz
MRP082	MAN A21	autóbusz
MRP083	MAN A21	autóbusz
MRP084	MAN A21	autóbusz
MRP085	MAN A21	autóbusz
MRP086	MAN A21	autóbusz
MRP087	MAN A21	autóbusz
MRP088	MAN A21	autóbusz
MRP089	MAN A21	autóbusz
MRP090	MAN A21	autóbusz
MRP091	MAN A21	autóbusz
MRP092	MAN A21	autóbusz
MRP093	MAN A21	autóbusz
MRP094	MAN A21	autóbusz
MRP095	MAN A21	autóbusz
MRP096	MAN A21	autóbusz
MRP097	MAN A21	autóbusz
MRP098	MAN A21	autóbusz
MRP099	MAN A21	autóbusz
MRP100	MAN A21	autóbusz
MRZ245	MAN A21	autóbusz
MRZ246	MAN A21	autóbusz
MRZ247	MAN A21	autóbusz
MRZ248	MAN A21	autóbusz
MRZ249	MAN A21	autóbusz
MRZ250	MAN A21	autóbusz
MRZ351	MAN A21	autóbusz
MRZ352	MAN A21	autóbusz
MRZ353	MAN A21	autóbusz
MRZ354	MAN A21	autóbusz
MRZ355	MAN A21	autóbusz
MRZ356	MAN A21	autóbusz
MRZ357	MAN A21	autóbusz
MRZ358	MAN A21	autóbusz
MRZ359	MAN A21	autóbusz
MRZ360	MAN A21	autóbusz
MRZ361	MAN A21	autóbusz
MRZ362	MAN A21	autóbusz
MRZ363	MAN A21	autóbusz
MRZ364	MAN A21	autóbusz
MRZ365	MAN A21	autóbusz
MRZ366	MAN A21	autóbusz
MRZ367	MAN A21	autóbusz
MRZ368	MAN A21	autóbusz
MRZ369	MAN A21	autóbusz
MRZ370	MAN A21	autóbusz
MRZ371	MAN A21	autóbusz
MRZ372	MAN A21	autóbusz
MRZ373	MAN A21	autóbusz
MRZ374	MAN A21	autóbusz
MRZ375	MAN A21	autóbusz
MRZ376	MAN A21	autóbusz
MRZ377	MAN A21	autóbusz
MRZ378	MAN A21	autóbusz
MRZ379	MAN A21	autóbusz
MRZ380	MAN A21	autóbusz
MRZ381	MAN A21	autóbusz
MRZ382	MAN A21	autóbusz
MRZ383	MAN A21	autóbusz
MRZ384	MAN A21	autóbusz
MRZ385	MAN A21	autóbusz
MRZ386	MAN A21	autóbusz
MRZ387	MAN A21	autóbusz
MRZ388	MAN A21	autóbusz
MRZ389	MAN A21	autóbusz
MRZ390	MAN A21	autóbusz
MRZ391	MAN A21	autóbusz
MRZ392	MAN A21	autóbusz
MRZ393	MAN A21	autóbusz
MRZ394	MAN A21	autóbusz
MRZ395	MAN A21	autóbusz
MRZ396	MAN A21	autóbusz
MRZ397	MAN A21	autóbusz
MRZ398	MAN A21	autóbusz
MRZ399	MAN A21	autóbusz
MRZ400	MAN A21	autóbusz
MTZ647	Ikarus 415	autóbusz
MTZ648	Ikarus 415	autóbusz
MTZ649	Ikarus 415	autóbusz
MTZ650	Ikarus 415	autóbusz
MUM638	VanHool A330 CNG	autóbusz
MUM639	VanHool A330 CNG	autóbusz
MUM640	VanHool A330 CNG	autóbusz
MUM641	VanHool A330 CNG	autóbusz
MUM642	VanHool A330 CNG	autóbusz
MUM643	VanHool A330 CNG	autóbusz
MUM644	VanHool A330 CNG	autóbusz
MUM645	VanHool A330 CNG	autóbusz
MUM646	VanHool A330 CNG	autóbusz
MUM647	VanHool A330 CNG	autóbusz
MUM648	VanHool A330 CNG	autóbusz
MUM649	VanHool A330 CNG	autóbusz
MUT781	MB Citaro C2-S1-G	autóbusz
MUT883	VanHool NewAG300	autóbusz
MUT884	VanHool NewAG300	autóbusz
MUT885	VanHool NewAG300	autóbusz
MUT886	VanHool NewAG300	autóbusz
MUT887	VanHool NewAG300	autóbusz
MUT888	VanHool NewAG300	autóbusz
MUT889	VanHool NewAG300	autóbusz
MUT890	VanHool NewAG300	autóbusz
MUT891	VanHool NewAG300	autóbusz
MUT892	VanHool NewAG300	autóbusz
MUT893	VanHool NewAG300	autóbusz
MUT894	VanHool NewAG300	autóbusz
MUT895	VanHool NewAG300	autóbusz
MUT896	VanHool NewAG300	autóbusz
MUT897	VanHool NewAG300	autóbusz
MUT898	VanHool NewAG300	autóbusz
MUT899	VanHool NewAG300	autóbusz
MUT900	VanHool NewAG300	autóbusz
MUU901	VanHool NewAG300	autóbusz
MUU902	VanHool NewAG300	autóbusz
MUU903	VanHool NewAG300	autóbusz
MUU904	VanHool NewAG300	autóbusz
MUU905	VanHool NewAG300	autóbusz
MUU906	VanHool NewAG300	autóbusz
MUU907	VanHool NewAG300	autóbusz
MXJ001	MB515	autóbusz
MXJ002	MB515	autóbusz
MXJ003	MB515	autóbusz
MXJ004	Ikarus 127V	autóbusz
MXJ005	Ikarus 127V	autóbusz
MXJ006	Ikarus 127V	autóbusz
MXJ007	Ikarus 127V	autóbusz
MXJ008	Ikarus 127V	autóbusz
MXJ009	Ikarus 127V	autóbusz
MXJ010	Ikarus 127V	autóbusz
MXJ011	Ikarus 127V	autóbusz
MXJ012	Ikarus 127V	autóbusz
MXJ013	Ikarus 127V	autóbusz
MXJ014	Ikarus 127V	autóbusz
MXJ015	Ikarus 127V	autóbusz
MXJ016	Ikarus 127V	autóbusz
MXJ017	Ikarus 127V	autóbusz
MXJ018	Ikarus 127V	autóbusz
MYK371	Volvo7900A	autóbusz
MYK372	Volvo7900A	autóbusz
MYK373	Volvo7900A	autóbusz
MYK374	Volvo7900A	autóbusz
MYK375	Volvo7900A	autóbusz
MYK376	Volvo7900A	autóbusz
MYK377	Volvo7900A	autóbusz
MYK378	Volvo7900A	autóbusz
MYK379	Volvo7900A	autóbusz
MYK380	Volvo7900A	autóbusz
MYK381	Volvo7900A	autóbusz
MYK382	Volvo7900A	autóbusz
MYK383	Volvo7900A	autóbusz
MYK384	Volvo7900A	autóbusz
MYK385	Volvo7900A	autóbusz
MYK386	Volvo7900A	autóbusz
MYK387	Volvo7900A	autóbusz
MYK388	Volvo7900A	autóbusz
MYK389	Volvo7900A	autóbusz
MYK390	Volvo7900A	autóbusz
MYK391	Volvo7900A	autóbusz
MYK392	Volvo7900A	autóbusz
MYK393	Volvo7900A	autóbusz
MYK394	Volvo7900A	autóbusz
MYK395	Volvo7900A	autóbusz
MYK396	Volvo7900A	autóbusz
MYK397	Volvo7900A	autóbusz
MYK398	Volvo7900A	autóbusz
MZC880	MB Citaro C2-S1	autóbusz
NA-1254	T5C5T	autóbusz
NA-3476	T5C5T	autóbusz
NA-3526	T5C5T	autóbusz
NA-4547	T5C5T	autóbusz
NA-7287	T5C5T	autóbusz
NA-7288	T5C5T	autóbusz
NAE996	Solaris Urbino 10	autóbusz
NAY265	Ikarus 412	autóbusz
NAY266	Ikarus 412	autóbusz
NAY267	Ikarus 412	autóbusz
NAY268	Ikarus 412	autóbusz
NAY269	Ikarus 412	autóbusz
NAY270	Ikarus 412	autóbusz
NAY271	Ikarus 412	autóbusz
NAY301	MAN Lions City A21	autóbusz
NAY302	MAN Lions City A21	autóbusz
NAY303	MAN Lions City A21	autóbusz
NAY304	MAN Lions City A21	autóbusz
NAY305	MAN Lions City A21	autóbusz
NAY306	MAN Lions City A21	autóbusz
NAY307	MAN Lions City A21	autóbusz
NAY308	MAN Lions City A21	autóbusz
NAY309	MAN Lions City A21	autóbusz
NAY310	MAN Lions City A21	autóbusz
NAY311	MAN Lions City A21	autóbusz
NAY312	MAN Lions City A21	autóbusz
NAY313	MAN Lions City A21	autóbusz
NAY314	MAN Lions City A21	autóbusz
NAY315	MAN Lions City A21	autóbusz
NAY316	MAN Lions City A21	autóbusz
NAY317	MAN Lions City A21	autóbusz
NAY318	MAN Lions City A21	autóbusz
NAY319	MAN Lions City A21	autóbusz
NAY320	MAN Lions City A21	autóbusz
NAY321	MAN Lions City A21	autóbusz
NAY322	MAN Lions City A21	autóbusz
NAY323	MAN Lions City A21	autóbusz
NAY324	MAN Lions City A21	autóbusz
NAY325	MAN Lions City A21	autóbusz
NAY326	MAN Lions City A21	autóbusz
NAY327	MAN Lions City A21	autóbusz
NAY328	MAN Lions City A21	autóbusz
NAY329	MAN Lions City A21	autóbusz
NAY330	MAN Lions City A21	autóbusz
NAY331	MAN Lions City A21	autóbusz
NAY332	MAN Lions City A21	autóbusz
NAY333	MAN Lions City A21	autóbusz
NAY334	MAN Lions City A21	autóbusz
NAY335	MAN Lions City A21	autóbusz
NAY336	MAN Lions City A21	autóbusz
NAY337	MAN Lions City A21	autóbusz
NAY338	MAN Lions City A21	autóbusz
NAY339	MAN Lions City A21	autóbusz
NAY340	MAN Lions City A21	autóbusz
NAY341	MAN Lions City A21	autóbusz
NAY342	MAN Lions City A21	autóbusz
NAY343	MAN Lions City A21	autóbusz
NAY344	MAN Lions City A21	autóbusz
NAY345	MAN Lions City A21	autóbusz
NAY346	MAN Lions City A21	autóbusz
NAY347	MAN Lions City A21	autóbusz
NAY348	MAN Lions City A21	autóbusz
NAY349	MAN Lions City A21	autóbusz
NAY350	MAN Lions City A21	autóbusz
NAY351	MAN Lions City A21	autóbusz
NAY352	MAN Lions City A21	autóbusz
NAY353	MAN Lions City A21	autóbusz
NAY354	MAN Lions City A21	autóbusz
NAY355	MAN Lions City A21	autóbusz
NAY356	MAN Lions City A21	autóbusz
NAY357	MAN Lions City A21	autóbusz
NAY358	MAN Lions City A21	autóbusz
NAY359	MAN Lions City A21	autóbusz
NAY360	MAN Lions City A21	autóbusz
NAY361	MAN Lions City A21	autóbusz
NAY362	MAN Lions City A21	autóbusz
NAY363	MAN Lions City A21	autóbusz
NAY364	MAN Lions City A21	autóbusz
NAY365	MAN Lions City A21	autóbusz
NAY366	MAN Lions City A21	autóbusz
NAY367	MAN Lions City A21	autóbusz
NAY368	MAN Lions City A21	autóbusz
NAY369	MAN Lions City A21	autóbusz
NAY370	MAN Lions City A21	autóbusz
NAY371	MAN Lions City A21	autóbusz
NAY372	MAN Lions City A21	autóbusz
NAY373	MAN Lions City A21	autóbusz
NAY374	MAN Lions City A21	autóbusz
NAY375	MAN Lions City A21	autóbusz
NAY376	MAN Lions City A21	autóbusz
NAY377	MAN Lions City A21	autóbusz
NAY378	MAN Lions City A21	autóbusz
NAY379	MAN Lions City A21	autóbusz
NAY380	MAN Lions City A21	autóbusz
NAY381	MAN Lions City A21	autóbusz
NAY382	MAN Lions City A21	autóbusz
NBW001	MERCEDES Conecto	autóbusz
NBW002	MERCEDES Conecto	autóbusz
NBW003	MERCEDES Conecto	autóbusz
NBW004	MERCEDES Conecto	autóbusz
NBW005	MERCEDES Conecto	autóbusz
NBW006	MERCEDES Conecto	autóbusz
NBW007	MERCEDES Conecto	autóbusz
NBW008	MERCEDES Conecto	autóbusz
NBW009	MERCEDES Conecto	autóbusz
NBW010	MERCEDES Conecto	autóbusz
NBW011	MERCEDES Conecto	autóbusz
NBW012	MERCEDES Conecto	autóbusz
NBW013	MERCEDES Conecto	autóbusz
NBW014	MERCEDES Conecto	autóbusz
NBW015	MERCEDES Conecto	autóbusz
NCA263	Ikarus 263	autóbusz
NCA401	MERCEDES Conecto	autóbusz
NCA402	MERCEDES Conecto	autóbusz
NCA403	MERCEDES Conecto	autóbusz
NCA404	MERCEDES Conecto	autóbusz
NCA405	MERCEDES Conecto	autóbusz
NCA406	MERCEDES Conecto	autóbusz
NCA407	MERCEDES Conecto	autóbusz
NCA408	MERCEDES Conecto	autóbusz
NCA409	MERCEDES Conecto	autóbusz
NCA410	MERCEDES Conecto	autóbusz
NCA411	MERCEDES Conecto	autóbusz
NCA412	MERCEDES Conecto	autóbusz
NCA413	MERCEDES Conecto	autóbusz
NCA414	MERCEDES Conecto	autóbusz
NCA415	MERCEDES Conecto	autóbusz
NCA416	MERCEDES Conecto	autóbusz
NCA417	MERCEDES Conecto	autóbusz
NCA418	MERCEDES Conecto	autóbusz
NCA419	MERCEDES Conecto	autóbusz
NCA420	MERCEDES Conecto	autóbusz
NCA421	MERCEDES Conecto	autóbusz
NCA422	MERCEDES Conecto	autóbusz
NCA423	MERCEDES Conecto	autóbusz
NCA424	MERCEDES Conecto	autóbusz
NCA425	MERCEDES Conecto	autóbusz
NCA426	MERCEDES Conecto	autóbusz
NCA427	MERCEDES Conecto	autóbusz
NCA428	MERCEDES Conecto	autóbusz
NCA429	MERCEDES Conecto	autóbusz
NCA430	MERCEDES Conecto	autóbusz
NCA431	MERCEDES Conecto	autóbusz
NCA432	MERCEDES Conecto	autóbusz
NCA433	MERCEDES Conecto	autóbusz
NCA434	MERCEDES Conecto	autóbusz
NCA435	MERCEDES Conecto	autóbusz
NCA436	MERCEDES Conecto	autóbusz
NCA437	MERCEDES Conecto	autóbusz
NCA438	MERCEDES Conecto	autóbusz
NCA439	MERCEDES Conecto	autóbusz
NCA440	MERCEDES Conecto	autóbusz
NCA441	MERCEDES Conecto	autóbusz
NCA442	MERCEDES Conecto	autóbusz
NCA443	MERCEDES Conecto	autóbusz
NCA444	MERCEDES Conecto	autóbusz
NCA445	MERCEDES Conecto	autóbusz
NCA446	MERCEDES Conecto	autóbusz
NCA447	MERCEDES Conecto	autóbusz
NCA448	MERCEDES Conecto	autóbusz
NCA449	MERCEDES Conecto	autóbusz
NCA450	MERCEDES Conecto	autóbusz
NCA451	MERCEDES Conecto	autóbusz
NCA452	MERCEDES Conecto	autóbusz
NCA453	MERCEDES Conecto	autóbusz
NCA454	MERCEDES Conecto	autóbusz
NCA455	MERCEDES Conecto	autóbusz
NCA456	MERCEDES Conecto	autóbusz
NCA457	MERCEDES Conecto	autóbusz
NCA458	MERCEDES Conecto	autóbusz
NCA459	MERCEDES Conecto	autóbusz
NCA460	MERCEDES Conecto	autóbusz
NCA461	MERCEDES Conecto	autóbusz
NCA462	MERCEDES Conecto	autóbusz
NCA463	MERCEDES Conecto	autóbusz
NCA464	MERCEDES Conecto	autóbusz
NCA465	MERCEDES Conecto	autóbusz
NCA466	MERCEDES Conecto	autóbusz
NCA467	MERCEDES Conecto	autóbusz
NCA468	MERCEDES Conecto	autóbusz
NCA469	MERCEDES Conecto	autóbusz
NCA470	MERCEDES Conecto	autóbusz
NCA471	MERCEDES Conecto	autóbusz
NCA472	MERCEDES Conecto	autóbusz
NCA473	MERCEDES Conecto	autóbusz
NCA474	MERCEDES Conecto	autóbusz
NCA475	MERCEDES Conecto	autóbusz
NCA476	MERCEDES Conecto	autóbusz
NCA477	MERCEDES Conecto	autóbusz
NCA478	MERCEDES Conecto	autóbusz
NCA479	MERCEDES Conecto	autóbusz
NCA480	MERCEDES Conecto	autóbusz
NCA481	MERCEDES Conecto	autóbusz
NCA482	MERCEDES Conecto	autóbusz
NCA483	MERCEDES Conecto	autóbusz
NCA484	MERCEDES Conecto	autóbusz
NCA485	MERCEDES Conecto	autóbusz
NCA486	MERCEDES Conecto	autóbusz
NCA487	MERCEDES Conecto	autóbusz
NCA488	MERCEDES Conecto	autóbusz
NCA489	MERCEDES Conecto	autóbusz
NCA490	MERCEDES Conecto	autóbusz
NCA491	MERCEDES Conecto	autóbusz
NCA492	MERCEDES Conecto	autóbusz
NCA493	MERCEDES Conecto	autóbusz
NCA494	MERCEDES Conecto	autóbusz
NCA495	MERCEDES Conecto	autóbusz
NCA496	MERCEDES Conecto	autóbusz
NCA497	MERCEDES Conecto	autóbusz
NCA498	MERCEDES Conecto	autóbusz
NCA499	MERCEDES Conecto	autóbusz
NCA500	MERCEDES Conecto	autóbusz
NCA501	MERCEDES Conecto	autóbusz
NCA502	MERCEDES Conecto	autóbusz
NCA503	MERCEDES Conecto	autóbusz
NCA504	MERCEDES Conecto	autóbusz
NCA505	MERCEDES Conecto	autóbusz
NCA506	MERCEDES Conecto	autóbusz
NCA507	MERCEDES Conecto	autóbusz
NCA508	MERCEDES Conecto	autóbusz
NCA509	MERCEDES Conecto	autóbusz
NCA510	MERCEDES Conecto	autóbusz
NCA511	MERCEDES Conecto	autóbusz
NCA512	MERCEDES Conecto	autóbusz
NCA513	MERCEDES Conecto	autóbusz
NCA514	MERCEDES Conecto	autóbusz
NCA515	MERCEDES Conecto	autóbusz
NCA516	MERCEDES Conecto	autóbusz
NCA517	MERCEDES Conecto	autóbusz
NCA518	MERCEDES Conecto	autóbusz
NCA519	MERCEDES Conecto	autóbusz
NCA520	MERCEDES Conecto	autóbusz
NCA521	MERCEDES Conecto	autóbusz
NCA522	MERCEDES Conecto	autóbusz
NCA523	MERCEDES Conecto	autóbusz
NCA524	MERCEDES Conecto	autóbusz
NCA525	MERCEDES Conecto	autóbusz
NCA526	MERCEDES Conecto	autóbusz
NCA527	MERCEDES Conecto	autóbusz
NCA528	MERCEDES Conecto	autóbusz
NCA529	MERCEDES Conecto	autóbusz
NCA530	MERCEDES Conecto	autóbusz
NCA531	MERCEDES Conecto	autóbusz
NCA532	MERCEDES Conecto	autóbusz
NCV285	Karsan ATAK	autóbusz
NCV286	Karsan ATAK	autóbusz
NCV287	Karsan ATAK	autóbusz
NCV288	Karsan ATAK	autóbusz
NCV289	Karsan ATAK	autóbusz
NCV290	Karsan ATAK	autóbusz
NCV291	Karsan ATAK	autóbusz
NCV292	Karsan ATAK	autóbusz
NCV293	Karsan ATAK	autóbusz
NCV294	Karsan ATAK	autóbusz
NCV295	Karsan ATAK	autóbusz
NCV296	Karsan ATAK	autóbusz
NCV297	Karsan ATAK	autóbusz
NCV298	Karsan ATAK	autóbusz
NCV299	Karsan ATAK	autóbusz
NCV300	Karsan ATAK	autóbusz
NCZ539	Volvo	autóbusz
NCZ540	Volvo	autóbusz
NCZ541	Volvo	autóbusz
NCZ542	Volvo	autóbusz
NCZ543	Volvo	autóbusz
NCZ544	Volvo	autóbusz
NCZ545	Volvo	autóbusz
NCZ546	Volvo	autóbusz
NCZ547	Volvo	autóbusz
NCZ548	Volvo	autóbusz
NCZ549	Volvo	autóbusz
NCZ550	Volvo	autóbusz
NCZ551	Volvo	autóbusz
NCZ552	Volvo	autóbusz
NCZ553	Volvo	autóbusz
NCZ554	Volvo	autóbusz
NCZ555	Volvo	autóbusz
NCZ556	Volvo	autóbusz
NCZ557	Volvo	autóbusz
NCZ558	Volvo	autóbusz
NCZ559	Volvo	autóbusz
NCZ560	Volvo	autóbusz
NCZ561	Volvo	autóbusz
NCZ562	Volvo	autóbusz
NCZ563	Volvo	autóbusz
NCZ564	Volvo	autóbusz
NCZ566	Volvo	autóbusz
NCZ567	Volvo	autóbusz
NCZ568	Volvo	autóbusz
NCZ569	Volvo	autóbusz
NCZ570	Volvo	autóbusz
NCZ571	Volvo	autóbusz
NCZ572	Volvo	autóbusz
NCZ573	Volvo	autóbusz
NCZ574	Volvo	autóbusz
NCZ575	Volvo	autóbusz
NCZ576	Volvo	autóbusz
NGC019	Modulo M108d	autóbusz
NGC020	Modulo M108d	autóbusz
NGC021	Modulo M108d	autóbusz
NGC022	Modulo M108d	autóbusz
NGC023	Modulo M108d	autóbusz
NGC024	Modulo M108d	autóbusz
NGC025	Modulo M108d	autóbusz
NGC026	Modulo M108d	autóbusz
NGC027	Modulo M108d	autóbusz
NGC028	Modulo M108d	autóbusz
NGC029	Modulo M108d	autóbusz
NGC030	Modulo M108d	autóbusz
NGC031	Modulo M108d	autóbusz
NGC032	Modulo M108d	autóbusz
NGC033	Modulo M108d	autóbusz
NGC141	MERCEDES Citaro O 530	autóbusz
NGC142	MERCEDES Citaro O 530	autóbusz
NGC143	MERCEDES Citaro O 530	autóbusz
NGC144	MERCEDES Citaro O 530	autóbusz
NGC145	MERCEDES Citaro O 530	autóbusz
NGC146	MERCEDES Citaro O 530	autóbusz
NGC147	MERCEDES Citaro O 530	autóbusz
NGC148	MERCEDES Citaro O 530	autóbusz
NGC149	MERCEDES Citaro O 530	autóbusz
NGC150	MERCEDES Citaro O 530	autóbusz
NGC151	MERCEDES Citaro O 530	autóbusz
NGC152	MERCEDES Citaro O 530	autóbusz
NGC153	MERCEDES Citaro O 530	autóbusz
NGC154	MERCEDES Citaro O 530	autóbusz
NGC155	MERCEDES Citaro O 530	autóbusz
NGC156	MERCEDES Citaro O 530	autóbusz
NGC157	MERCEDES Citaro O 530	autóbusz
NGC158	MERCEDES Citaro O 530	autóbusz
NGC159	MERCEDES Citaro O 530	autóbusz
NGC160	MERCEDES Citaro O 530	autóbusz
NGC161	MERCEDES Citaro O 530	autóbusz
NGC162	MERCEDES Citaro O 530	autóbusz
NGC163	MERCEDES Citaro O 530	autóbusz
NGC164	MERCEDES Citaro O 530	autóbusz
NGC165	MERCEDES Citaro O 530	autóbusz
NHB034	Modulo M108d	autóbusz
NHB035	Modulo M108d	autóbusz
NHB036	Modulo M108d	autóbusz
NJV166	MERCEDES O530 Citaro CNG	autóbusz
NJV167	MERCEDES O530 Citaro CNG	autóbusz
NJV168	MERCEDES O530 Citaro CNG	autóbusz
NJV169	MERCEDES O530 Citaro CNG	autóbusz
NJV170	MERCEDES O530 Citaro CNG	autóbusz
NJV171	MERCEDES O530 Citaro CNG	autóbusz
NJV172	MERCEDES O530 Citaro CNG	autóbusz
NJV173	MERCEDES O530 Citaro CNG	autóbusz
NJV174	MERCEDES O530 Citaro CNG	autóbusz
NJV175	MERCEDES O530 Citaro CNG	autóbusz
NJV176	MERCEDES O530 Citaro CNG	autóbusz
NJV177	MERCEDES O530 Citaro CNG	autóbusz
NJV178	MERCEDES O530 Citaro CNG	autóbusz
NJV179	MERCEDES O530 Citaro CNG	autóbusz
