rendszam	tipus	fajta
BPO439	Ikarus 280	autóbusz
BPO448	Ikarus 280	autóbusz
BPO449	Ikarus 280	autóbusz
BPO454	Ikarus 280	autóbusz
BPO457	Ikarus 280	autóbusz
BPO458	Ikarus 280	autóbusz
BPO459	Ikarus 280	autóbusz
BPO460	Ikarus 280	autóbusz
BPO463	Ikarus 280	autóbusz
BPO466	Ikarus 280	autóbusz
BPO469	Ikarus 280	autóbusz
BPO472	Ikarus 280	autóbusz
BPO475	Ikarus 280	autóbusz
BPO476	Ikarus 280	autóbusz
BPO481	Ikarus 280	autóbusz
BPO483	Ikarus 280	autóbusz
BPO485	Ikarus 280	autóbusz
BPO543	Ikarus 435	autóbusz
BPO544	Ikarus 435	autóbusz
BPO549	Ikarus 435	autóbusz
BPO551	Ikarus 435	autóbusz
BPO552	Ikarus 435	autóbusz
BPO561	Ikarus 435	autóbusz
BPO564	Ikarus 435	autóbusz
BPO566	Ikarus 435	autóbusz
BPO567	Ikarus 435	autóbusz
BPO569	Ikarus 435	autóbusz
BPO571	Ikarus 435	autóbusz
BPO582	Ikarus 435	autóbusz
BPO583	Ikarus 435	autóbusz
BPO609	Ikarus 260	autóbusz
BPO646	Ikarus 260	autóbusz
BPO715	Ikarus 415	autóbusz
BPO725	Ikarus 415	autóbusz
BPO801	Ikarus 280	autóbusz
BPO804	Ikarus 280	autóbusz
BPO805	Ikarus 280	autóbusz
BPO806	Ikarus 280	autóbusz
BPO808	Ikarus 280	autóbusz
BPO809	Ikarus 280	autóbusz
BPO811	Ikarus 280	autóbusz
BPO837	Ikarus 280	autóbusz
BPO841	Ikarus 280	autóbusz
BPO846	Ikarus 280	autóbusz
BPO850	Ikarus 280	autóbusz
BPO851	Ikarus 280	autóbusz
BPO856	Ikarus 280	autóbusz
BPO858	Ikarus 280	autóbusz
BPO859	Ikarus 280	autóbusz
BPO863	Ikarus 280	autóbusz
BPO878	Ikarus 280	autóbusz
BPO880	Ikarus 280	autóbusz
BPO881	Ikarus 280	autóbusz
BUDAVÁ	Vízibusz	hajó
F0052	Fogaskerekű motorkocsi	fogaskerekű
F0053	Fogaskerekű motorkocsi	fogaskerekű
F0054	Fogaskerekű motorkocsi	fogaskerekű
F0055	Fogaskerekű motorkocsi	fogaskerekű
F0056	Fogaskerekű motorkocsi	fogaskerekű
F0057	Fogaskerekű motorkocsi	fogaskerekű
F0062	Fogaskerekű vezérlőkocsi	fogaskerekű
F0063	Fogaskerekű vezérlőkocsi	fogaskerekű
F0064	Fogaskerekű vezérlőkocsi	fogaskerekű
F0065	Fogaskerekű vezérlőkocsi	fogaskerekű
F0066	Fogaskerekű vezérlőkocsi	fogaskerekű
